elt_condition,pc_brand,pc_model,pc_cpu,pc_ram,pc_drive_capacity,usage_information,pc_vga,desktop_screen_size,elt_warranty,elt_origin,classify,price
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Ryzen 7,16 GB,1 TB,In trên bao bì,AMD,13 - 14.9 inch,Còn bảo hành,Hàn Quốc,laptop,15.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Vostro,Intel Core i3,4 GB,256 GB,In trên bao bì,Onboard,15 - 16.9 inch,Hết bảo hành,Việt Nam,laptop,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i5,8 GB,256 GB,In trên bao bì,,,Còn bảo hành,Đang cập nhật,laptop,6.900.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,ThinkPad,Intel Core i7,16 GB,512 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,3 tháng,Mỹ,laptop,15.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,Intel Core i7,16 GB,512 GB,In trên bao bì,AMD,13 - 14.9 inch,1 tháng,Đang cập nhật,laptop,12.300.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Air M2,Khác,8 GB,256 GB,In trên bao bì,Khác,15 - 16.9 inch,Còn bảo hành,Mỹ,laptop,25.300.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i7,16 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,laptop,12.500.000 đ
Đã sử dụng (chưa sửa chữa),Hãng Khác,Dòng Khác,Intel Core i5,8 GB,,In trên bao bì,,11 - 12.9 inch,Bảo hành hãng,Đang cập nhật,laptop,3.700.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i7,8 GB,128 GB,In trên bao bì,Khác,15 - 16.9 inch,Bảo hành hãng,Đang cập nhật,laptop,2.500.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Surface Pro 7,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,11 - 12.9 inch,3 tháng,Mỹ,laptop,12.000.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Dòng Khác,Intel Core i3,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,250.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,8.500.000 đ
Đã sử dụng (chưa sửa chữa),Toshiba,Dòng Khác,Intel Core i5,8 GB,128 GB,In trên bao bì,Onboard,13 - 14.9 inch,3 tháng,Đang cập nhật,laptop,4.139.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Intel Core 2 Duo,4 GB,320 GB,In trên bao bì,Onboard,15 - 16.9 inch,Hết bảo hành,Mỹ,laptop,900.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,Intel Core i7,32 GB,1 TB,In trên bao bì,AMD,15 - 16.9 inch,1 tháng,Đang cập nhật,laptop,15.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,IdeaPad,AMD,4 GB,500 GB,In trên bao bì,AMD,15 - 16.9 inch,Hết bảo hành,Nhật Bản,laptop,1.300.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Air,Intel Core i5,4 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,laptop,3.500.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Latitude,Intel Core i7,16 GB,512 GB,In trên bao bì,Onboard,13 - 14.9 inch,1 tháng,Mỹ,laptop,8.700.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,Intel Core i9,16 GB,500 GB,In trên bao bì,AMD,15 - 16.9 inch,1 tháng,Mỹ,laptop,16.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,Intel Core i5,8 GB,256 GB,In trên bao bì,,13 - 14.9 inch,Bảo hành hãng,Nhật Bản,laptop,5.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Air M2,Khác,8 GB,256 GB,In trên bao bì,Khác,13 - 14.9 inch,Còn bảo hành,Việt Nam,laptop,21.800.000 đ
Đã sử dụng (chưa sửa chữa),Asus,ROG Strix Scar,Ryzen 7,16 GB,512 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,4-6 tháng,Việt Nam,laptop,18.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Intel Core i5,8 GB,128 GB,In trên bao bì,NVIDIA,15 - 16.9 inch,1 tháng,Đang cập nhật,laptop,4.990.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro Touch Bar,Intel Core i5,16 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,1 tháng,Mỹ,laptop,8.000.000 đ
Đã sử dụng (chưa sửa chữa),Sony,Vaio Series,Intel Core i5,8 GB,256 GB,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,3.450.000 đ
Đã sử dụng (chưa sửa chữa),Asus,Dòng Khác,Intel Core i5,4 GB,250 GB,In trên bao bì,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,laptop,1.200.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Air M1,Intel Core i5,> 32GB,128 GB,In trên bao bì,,13 - 14.9 inch,Hết bảo hành,Đang cập nhật,laptop,8.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Air,Intel Core i5,8 GB,256 GB,In trên bao bì,Onboard,13 - 14.9 inch,Hết bảo hành,Mỹ,laptop,7.900.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Pro,Intel Core i7,16 GB,512 GB,In trên bao bì,AMD,15 - 16.9 inch,1 tháng,Đang cập nhật,laptop,16.800.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,13.000.000 đ
Đã sử dụng (chưa sửa chữa),Toshiba,Dòng Khác,Intel Core i5,8 GB,256 GB,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,3.600.000 đ
Đã sử dụng (chưa sửa chữa),HP,Elitebook,Intel Core i5,8 GB,320 GB,In trên bao bì,Onboard,13 - 14.9 inch,Hết bảo hành,Trung Quốc,laptop,1.300.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Dòng khác,Intel Core i7,16 GB,256 GB,In trên bao bì,Onboard,15 - 16.9 inch,1 tháng,Mỹ,laptop,14.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Intel Core i3,4 GB,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,2.500.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,Dòng Khác,,,,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,700.000 đ
Đã sử dụng (chưa sửa chữa),Lenovo,ThinkPad,Intel Core i5,16 GB,256 GB,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,9.700.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Intel Core i5,8 GB,512 GB,In trên bao bì,Onboard,13 - 14.9 inch,Còn bảo hành,Mỹ,laptop,11.900.000 đ
Mới,Dell,Latitude,Intel Core i7,16 GB,256 GB,In trên bao bì,Onboard,15 - 16.9 inch,Hết bảo hành,Mỹ,laptop,8.500.000 đ
Đã sử dụng (chưa sửa chữa),Microsoft,Surface Book,Intel Core i7,32 GB,512 GB,In trên bao bì,NVIDIA,13 - 14.9 inch,1 tháng,Mỹ,laptop,11.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Intel Core i7,8 GB,128 GB,In trên bao bì,,,Bảo hành hãng,Đang cập nhật,laptop,4.500.000 đ
Đã sử dụng (chưa sửa chữa),Apple,MacBook Air,Intel Core i5,8 GB,128 GB,In trên bao bì,Onboard,13 - 14.9 inch,Bảo hành hãng,Đang cập nhật,laptop,5.000.000 đ
Đã sử dụng (chưa sửa chữa),Dell,Inspiron,Intel Core i3,4 GB,500 GB,In trên bao bì,Onboard,15 - 16.9 inch,Hết bảo hành,Mỹ,laptop,1.250.000 đ
