,pc_brand,pc_model,elt_condition,elt_warranty,desktop_screen_size,pc_cpu,pc_ram,pc_vga,pc_drive_capacity,elt_origin,classify,price (VND),pc_cpu_label
5420,HP,Elitebook,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nhật Bản,laptop,6500000.0,Intel
5421,Dell,Precision,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,256 GB,Mỹ,laptop,9200000.0,Intel
5422,Dell,Latitude,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i3,4 GB,NVIDIA,128 GB,Nước khác,laptop,3190000.0,Intel
5423,Apple,MacBook Air M1,Mới,Còn bảo hành,13 - 14.9 inch,Apple M1,8 GB,Onboard,256 GB,Việt Nam,laptop,15800000.0,Apple
5424,Dell,Latitude,Đã sử dụng (chưa sửa chữa),4-6 tháng,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,512 GB,Mỹ,laptop,11000000.0,Intel
5425,HP,Elitebook,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Nước khác,laptop,6700000.0,Intel
5426,Asus,ASUSPRO,Đã sử dụng (chưa sửa chữa),1 tháng,15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,128 GB,Việt Nam,laptop,3500000.0,Intel
5427,Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Mỹ,laptop,5500000.0,Intel
5428,Microsoft,Surface Book 2,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i7,16 GB,Onboard,1 TB,Việt Nam,laptop,11500000.0,Intel
5429,Dell,Latitude,Đã sử dụng (qua sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,NVIDIA,< 128 GB,Nước khác,laptop,1900000.0,Intel
5430,Asus,VivoBook S Series,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Trung Quốc,laptop,4500000.0,Intel
5431,Lenovo,Yoga,Đã sử dụng (chưa sửa chữa),Hết bảo hành,15 - 16.9 inch,Intel Core i5,8 GB,Onboard,512 GB,Mỹ,laptop,8499000.0,Intel
5432,Dell,Latitude,Đã sử dụng (chưa sửa chữa),3 tháng,13 - 14.9 inch,Intel Core i5,16 GB,Onboard,256 GB,Nước khác,laptop,6850000.0,Intel
5433,Apple,MacBook Air M2,Mới,Còn bảo hành,13 - 14.9 inch,Apple M2,16 GB,Onboard,256 GB,Việt Nam,laptop,27200000.0,Apple
5434,Apple,MacBook Air,Đã sử dụng (chưa sửa chữa),Hết bảo hành,13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Nước khác,laptop,4500000.0,Intel
5435,HP,Envy,Đã sử dụng (chưa sửa chữa),3 tháng,15 - 16.9 inch,Ryzen 5,16 GB,AMD,512 GB,Nước khác,laptop,9990000.0,AMD
